region,offset,bit,model_class
imem,0x0e4,11,HANG
imem,0x0e4,12,SDC
imem,0x0e4,13,UNCERTAIN
imem,0x0e4,14,MASKED
imem,0x0e4,15,SDC
imem,0x0e4,16,HANG
imem,0x0e4,17,SDC
imem,0x0e4,18,SDC
imem,0x0e4,19,SDC
imem,0x0e4,20,MASKED
imem,0x0e4,21,MASKED
imem,0x0e4,22,MASKED
imem,0x0e4,23,HANG
imem,0x0e4,24,MASKED
imem,0x0e4,25,HANG
imem,0x0e4,26,HANG
imem,0x0e4,27,HANG
imem,0x0e4,28,HANG
imem,0x0e4,29,HANG
imem,0x0e4,30,HANG
imem,0x0e4,31,HANG
imem,0x0e8,0,NO_RESULT
imem,0x0e8,1,NO_RESULT
imem,0x0e8,2,UNCERTAIN
imem,0x0e8,3,NO_RESULT
imem,0x0e8,4,NO_RESULT
imem,0x0e8,5,NO_RESULT
imem,0x0e8,6,NO_RESULT
imem,0x0e8,7,NO_RESULT
imem,0x0e8,8,NO_RESULT
imem,0x0e8,9,NO_RESULT
imem,0x0e8,10,NO_RESULT
imem,0x0e8,11,NO_RESULT
imem,0x0e8,12,NO_RESULT
imem,0x0e8,13,NO_RESULT
imem,0x0e8,14,NO_RESULT
imem,0x0e8,15,NO_RESULT
imem,0x0e8,16,NO_RESULT
imem,0x0e8,17,NO_RESULT
imem,0x0e8,18,NO_RESULT
imem,0x0e8,19,NO_RESULT
imem,0x0e8,20,NO_RESULT
imem,0x0e8,21,NO_RESULT
imem,0x0e8,22,NO_RESULT
imem,0x0e8,23,NO_RESULT
imem,0x0e8,24,NO_RESULT
imem,0x0e8,25,NO_RESULT
imem,0x0e8,26,NO_RESULT
imem,0x0e8,27,NO_RESULT
imem,0x0e8,28,NO_RESULT
imem,0x0e8,29,NO_RESULT
imem,0x0e8,30,NO_RESULT
imem,0x0e8,31,NO_RESULT
imem,0x0ec,0,NO_RESULT
imem,0x0ec,1,NO_RESULT
imem,0x0ec,2,NO_RESULT
imem,0x0ec,3,NO_RESULT
imem,0x0ec,4,UNCERTAIN
imem,0x0ec,5,NO_RESULT
imem,0x0ec,6,UNCERTAIN
imem,0x0ec,7,MASKED
imem,0x0ec,8,MASKED
imem,0x0ec,9,NO_RESULT
imem,0x0ec,10,NO_RESULT
imem,0x0ec,11,NO_RESULT
imem,0x0ec,12,UNCERTAIN
imem,0x0ec,13,NO_RESULT
imem,0x0ec,14,UNCERTAIN
imem,0x0ec,15,MASKED
imem,0x0ec,16,MASKED
imem,0x0ec,17,MASKED
imem,0x0ec,18,NO_RESULT
imem,0x0ec,19,MASKED
imem,0x0ec,20,NO_RESULT
imem,0x0ec,21,NO_RESULT
imem,0x0ec,22,NO_RESULT
imem,0x0ec,23,NO_RESULT
imem,0x0ec,24,NO_RESULT
imem,0x0ec,25,NO_RESULT
imem,0x0ec,26,NO_RESULT
imem,0x0ec,27,NO_RESULT
imem,0x0ec,28,NO_RESULT
imem,0x0ec,29,NO_RESULT
imem,0x0ec,30,NO_RESULT
imem,0x0ec,31,HANG
imem,0x0f0,0,NO_RESULT
imem,0x0f0,1,NO_RESULT
imem,0x0f0,2,NO_RESULT
imem,0x0f0,3,NO_RESULT
imem,0x0f0,4,NO_RESULT
imem,0x0f0,5,HANG
imem,0x0f0,6,NO_RESULT
imem,0x0f0,7,NO_RESULT
imem,0x0f0,8,NO_RESULT
imem,0x0f0,9,NO_RESULT
imem,0x0f0,10,NO_RESULT
imem,0x0f0,11,NO_RESULT
imem,0x0f0,12,NO_RESULT
imem,0x0f0,13,MASKED
imem,0x0f0,14,HANG
imem,0x0f0,15,HANG
imem,0x0f0,16,HANG
imem,0x0f0,17,HANG
imem,0x0f0,18,HANG
imem,0x0f0,19,HANG
imem,0x0f0,20,HANG
imem,0x0f0,21,HANG
